time	V(qa)	V(qa_bar)	V(reset)	V(set)
0.000000000000000e+00	3.802425e+00	3.803009e+00	0.000000e+00	0.000000e+00
5.000000066757160e-11	3.802272e+00	3.802899e+00	5.000000e-02	5.000000e-02
2.000000026702864e-10	3.801651e+00	3.802239e+00	2.000000e-01	2.000000e-01
4.000000053405728e-10	3.800554e+00	3.801088e+00	4.000000e-01	4.000000e-01
8.000000106811456e-10	3.797464e+00	3.797886e+00	8.000000e-01	8.000000e-01
1.600000021362291e-09	3.788422e+00	3.788647e+00	1.600000e+00	1.600000e+00
3.200000042724582e-09	3.764807e+00	3.764850e+00	3.200000e+00	3.200000e+00
5.000000000000000e-09	3.741446e+00	3.740882e+00	5.000000e+00	5.000000e+00
5.179999995727542e-09	3.741406e+00	3.740839e+00	5.000000e+00	5.000000e+00
5.539999987182625e-09	3.741459e+00	3.740895e+00	5.000000e+00	5.000000e+00
6.259999970092792e-09	3.741459e+00	3.740895e+00	5.000000e+00	5.000000e+00
2.167057092606931e-07	3.741459e+00	3.740895e+00	5.000000e+00	5.000000e+00
4.271514185512935e-07	3.741459e+00	3.740895e+00	5.000000e+00	5.000000e+00
6.375971278418939e-07	3.741459e+00	3.740895e+00	5.000000e+00	5.000000e+00
8.480428371324942e-07	3.741459e+00	3.740895e+00	5.000000e+00	5.000000e+00
1.058488546423095e-06	3.741459e+00	3.740895e+00	5.000000e+00	5.000000e+00
1.268934255713695e-06	3.741459e+00	3.740895e+00	5.000000e+00	5.000000e+00
1.479379965004295e-06	3.741459e+00	3.740895e+00	5.000000e+00	5.000000e+00
2.000000500000000e-02	3.741459e+00	3.740895e+00	5.000000e+00	5.000000e+00
2.000000550000000e-02	3.746697e+00	3.740836e+00	5.000000e+00	4.500000e+00
2.000000650000000e-02	3.760592e+00	3.740681e+00	5.000000e+00	3.500000e+00
2.000000800000000e-02	3.784025e+00	3.740420e+00	5.000000e+00	2.000000e+00
2.000001000000000e-02	3.804764e+00	3.740191e+00	5.000000e+00	0.000000e+00
2.000001020000000e-02	3.804750e+00	3.740191e+00	5.000000e+00	0.000000e+00
2.000001060000000e-02	3.804793e+00	3.740191e+00	5.000000e+00	0.000000e+00
2.000001140000000e-02	3.804793e+00	3.740191e+00	5.000000e+00	0.000000e+00
4.000000000000000e-02	3.804793e+00	3.740191e+00	5.000000e+00	0.000000e+00
4.000000050000000e-02	3.802033e+00	3.740221e+00	5.000000e+00	5.000000e-01
4.000000150000000e-02	3.790956e+00	3.740344e+00	5.000000e+00	1.500000e+00
4.000000300000000e-02	3.768342e+00	3.740594e+00	5.000000e+00	3.000000e+00
4.000000500000000e-02	3.741446e+00	3.740896e+00	5.000000e+00	5.000000e+00
4.000000520000000e-02	3.741366e+00	3.742971e+00	4.800000e+00	5.000000e+00
4.000000560000000e-02	3.741380e+00	3.747814e+00	4.400000e+00	5.000000e+00
4.000000640000000e-02	3.741251e+00	3.759268e+00	3.600000e+00	5.000000e+00
4.000001000000000e-02	3.740731e+00	3.805367e+00	0.000000e+00	5.000000e+00
4.000001020000001e-02	3.740731e+00	3.805386e+00	0.000000e+00	5.000000e+00
4.000001140000001e-02	3.740731e+00	3.805429e+00	0.000000e+00	5.000000e+00
6.000000500000000e-02	3.740731e+00	3.805430e+00	0.000000e+00	5.000000e+00
6.000000549999999e-02	3.745896e+00	3.805228e+00	0.000000e+00	4.500000e+00
6.000000649999999e-02	3.759548e+00	3.804700e+00	0.000000e+00	3.500000e+00
6.000000800000000e-02	3.782416e+00	3.803822e+00	0.000000e+00	2.000000e+00
6.000000999999999e-02	3.800712e+00	3.803124e+00	0.000000e+00	9.570673e-09
6.000001020000000e-02	3.802417e+00	3.803062e+00	0.000000e+00	0.000000e+00
6.000001059999999e-02	3.802308e+00	3.803066e+00	0.000000e+00	0.000000e+00
6.000001139999999e-02	3.802422e+00	3.803061e+00	0.000000e+00	0.000000e+00
6.000001299999999e-02	3.802423e+00	3.803061e+00	0.000000e+00	0.000000e+00
8.000000000000000e-02	3.802423e+00	3.803061e+00	0.000000e+00	0.000000e+00
8.000000050000000e-02	3.799880e+00	3.800386e+00	5.000000e-01	5.000000e-01
8.000000150000000e-02	3.789536e+00	3.789780e+00	1.500000e+00	1.500000e+00
8.000000300000000e-02	3.767801e+00	3.767860e+00	3.000000e+00	3.000000e+00
8.000000500000000e-02	3.741446e+00	3.740881e+00	5.000000e+00	5.000000e+00
8.000000520000000e-02	3.741392e+00	3.740824e+00	5.000000e+00	5.000000e+00
8.000000560000001e-02	3.741459e+00	3.740895e+00	5.000000e+00	5.000000e+00
8.000000640000000e-02	3.741459e+00	3.740895e+00	5.000000e+00	5.000000e+00
8.000001760000000e-02	3.741459e+00	3.740895e+00	5.000000e+00	5.000000e+00
8.270971999988956e-02	3.741459e+00	3.740895e+00	5.000000e+00	5.000000e+00
1.000000050000000e-01	3.741459e+00	3.740895e+00	5.000000e+00	5.000000e+00
1.000000055000000e-01	3.746697e+00	3.740836e+00	5.000000e+00	4.500000e+00
1.000000065000000e-01	3.760592e+00	3.740681e+00	5.000000e+00	3.500000e+00
1.000000080000000e-01	3.784025e+00	3.740420e+00	5.000000e+00	2.000000e+00
1.000000100000000e-01	3.804764e+00	3.740191e+00	5.000000e+00	2.631779e-09
1.000000102000000e-01	3.804750e+00	3.740191e+00	5.000000e+00	0.000000e+00
1.000000106000000e-01	3.804793e+00	3.740191e+00	5.000000e+00	0.000000e+00
1.000000114000000e-01	3.804793e+00	3.740191e+00	5.000000e+00	0.000000e+00
1.200000000000000e-01	3.804793e+00	3.740191e+00	5.000000e+00	0.000000e+00
1.200000005000000e-01	3.802033e+00	3.740221e+00	5.000000e+00	5.000000e-01
1.200000015000000e-01	3.790956e+00	3.740344e+00	5.000000e+00	1.500000e+00
1.200000030000000e-01	3.768342e+00	3.740594e+00	5.000000e+00	3.000000e+00
1.200000050000000e-01	3.741446e+00	3.740896e+00	5.000000e+00	5.000000e+00
1.200000052000000e-01	3.741366e+00	3.742971e+00	4.800000e+00	5.000000e+00
1.200000056000000e-01	3.741380e+00	3.747814e+00	4.400000e+00	5.000000e+00
1.200000064000000e-01	3.741251e+00	3.759268e+00	3.600000e+00	5.000000e+00
1.200000100000000e-01	3.740731e+00	3.805367e+00	9.570673e-09	5.000000e+00
1.200000102000000e-01	3.740731e+00	3.805386e+00	0.000000e+00	5.000000e+00
1.200000114000000e-01	3.740731e+00	3.805429e+00	0.000000e+00	5.000000e+00
1.400000050000000e-01	3.740731e+00	3.805430e+00	0.000000e+00	5.000000e+00
1.400000055000000e-01	3.745896e+00	3.805228e+00	0.000000e+00	4.500000e+00
1.400000065000000e-01	3.759548e+00	3.804700e+00	0.000000e+00	3.500000e+00
1.400000080000000e-01	3.782416e+00	3.803822e+00	0.000000e+00	2.000000e+00
1.400000100000000e-01	3.800712e+00	3.803124e+00	0.000000e+00	1.650957e-08
1.400000102000000e-01	3.802417e+00	3.803062e+00	0.000000e+00	0.000000e+00
1.400000106000000e-01	3.802308e+00	3.803066e+00	0.000000e+00	0.000000e+00
1.400000114000000e-01	3.802422e+00	3.803061e+00	0.000000e+00	0.000000e+00
1.400000130000000e-01	3.802423e+00	3.803061e+00	0.000000e+00	0.000000e+00
1.599999949828091e-01	3.802423e+00	3.803061e+00	0.000000e+00	0.000000e+00
1.600000000000000e-01	3.802423e+00	3.803061e+00	0.000000e+00	0.000000e+00
